00003.ppm;742;443;765;466;4
00004.ppm;906;407;955;459;2
00006.ppm;926;350;989;414;2
00008.ppm;785;460;811;486;2
00009.ppm;925;466;949;490;4
00011.ppm;720;338;770;398;1
00012.ppm;979;364;1034;418;1
00013.ppm;1043;281;1120;356;2
00018.ppm;950;455;981;486;4
00019.ppm;845;423;888;465;2
00023.ppm;998;292;1074;371;1
00026.ppm;453;411;492;451;1
00027.ppm;969;386;1024;441;2
00027.ppm;102;375;157;430;2
00028.ppm;391;468;417;494;35
00032.ppm;683;469;703;493;33
00036.ppm;1138;424;1163;450;35
00039.ppm;953;252;1015;313;35
00040.ppm;1040;310;1130;400;33
00043.ppm;110;444;143;480;35
00050.ppm;946;373;967;400;34
00053.ppm;766;438;799;471;35
00054.ppm;1117;473;1146;502;0
00056.ppm;729;436;760;467;1
00057.ppm;990;418;1036;467;1
00060.ppm;819;441;842;464;2
00061.ppm;1224;333;1285;394;2
00064.ppm;786;447;808;470;2
00069.ppm;817;459;838;480;2
00071.ppm;794;474;822;502;1
00072.ppm;836;456;858;478;4
00073.ppm;727;457;748;477;2
00073.ppm;430;453;452;475;2
00074.ppm;439;401;488;452;14
00074.ppm;929;378;981;431;14
00075.ppm;1131;409;1179;456;4
00076.ppm;789;471;815;495;2
00085.ppm;846;429;875;458;1
00088.ppm;412;440;436;464;8
00088.ppm;956;440;981;464;8
00089.ppm;1025;438;1054;468;5
00089.ppm;634;447;660;474;5
00092.ppm;423;449;444;470;35
00093.ppm;344;397;379;436;1
00093.ppm;1076;339;1119;389;1
00095.ppm;698;461;719;481;1
00101.ppm;835;406;891;461;5
00102.ppm;945;374;984;415;34
00107.ppm;490;536;529;576;1
00109.ppm;990;484;1020;513;3
00111.ppm;1091;465;1123;497;3
00111.ppm;350;503;382;535;3
00112.ppm;366;473;399;508;3
00112.ppm;1186;475;1225;514;3
00114.ppm;1169;421;1231;484;3
00115.ppm;850;218;950;317;14
00116.ppm;1078;254;1136;312;35
00120.ppm;58;243;164;345;2
00121.ppm;91;308;185;416;7
00122.ppm;500;496;521;518;7
00122.ppm;883;498;904;520;7
00123.ppm;519;492;550;524;7
00123.ppm;1101;483;1133;516;7
00124.ppm;532;481;558;507;4
00124.ppm;976;470;1002;496;4
00125.ppm;1019;313;1106;401;2
00126.ppm;840;374;868;404;2
00126.ppm;379;365;411;396;2
00127.ppm;138;385;175;423;5
00127.ppm;1009;380;1046;417;5
00130.ppm;209;426;236;453;1
00130.ppm;601;431;626;456;1
00131.ppm;474;389;500;415;1
00133.ppm;505;415;522;432;35
00134.ppm;1008;299;1073;365;1
00135.ppm;718;298;777;356;1
00140.ppm;247;472;275;501;14
00141.ppm;857;379;894;416;2
00142.ppm;816;454;835;473;2
00144.ppm;708;445;727;464;4
00146.ppm;711;427;729;445;2
00149.ppm;1131;274;1221;361;4
00150.ppm;824;345;865;386;2
00151.ppm;794;372;824;401;1
00153.ppm;307;409;338;440;35
00154.ppm;692;410;717;436;35
00161.ppm;717;445;735;462;34
00165.ppm;382;412;399;431;1
00166.ppm;814;382;848;416;1
00167.ppm;369;446;392;469;2
00167.ppm;729;433;750;455;2
00169.ppm;1089;153;1212;276;2
00170.ppm;912;322;944;358;4
00171.ppm;882;335;932;385;4
00172.ppm;718;418;737;437;1
00173.ppm;1111;279;1161;329;1
00174.ppm;723;443;747;467;2
00176.ppm;850;414;875;440;2
00177.ppm;271;416;313;458;14
00177.ppm;746;423;785;462;14
00178.ppm;728;456;748;476;2
00180.ppm;968;384;1004;421;2
00181.ppm;793;299;853;359;4
00182.ppm;656;412;685;441;2
00184.ppm;790;273;850;334;1
00185.ppm;967;150;1076;257;2
00186.ppm;603;455;621;474;4
00186.ppm;325;428;345;448;4
00187.ppm;675;405;709;439;2
00187.ppm;161;393;194;428;2
00190.ppm;670;400;689;421;35
00192.ppm;314;440;334;461;1
00193.ppm;727;224;834;331;14
00196.ppm;734;370;778;416;33
00198.ppm;678;412;702;435;14
00200.ppm;840;287;915;364;14
00200.ppm;849;364;901;416;34
00202.ppm;657;319;702;365;14
00202.ppm;56;315;104;363;14
00203.ppm;758;375;784;400;0
00204.ppm;858;151;946;242;1
00204.ppm;730;260;783;316;34
00206.ppm;61;105;135;178;34
00206.ppm;1159;197;1224;261;33
00206.ppm;55;8;164;103;13
00209.ppm;1110;287;1170;348;33
00210.ppm;1017;418;1038;443;35
00212.ppm;293;427;315;450;34
00212.ppm;756;402;782;430;33
00214.ppm;1185;130;1295;236;14
00214.ppm;1214;241;1288;312;33
00216.ppm;312;442;337;467;5
00216.ppm;886;446;911;472;5
00217.ppm;971;267;1031;328;1
00218.ppm;808;437;827;456;33
00219.ppm;1089;345;1144;401;33
00220.ppm;1127;285;1168;326;1
00222.ppm;985;354;1022;390;1
00223.ppm;816;334;858;374;1
00224.ppm;923;276;977;341;1
00225.ppm;856;268;924;334;1
00226.ppm;1152;224;1220;290;1
00228.ppm;937;295;998;356;1
00229.ppm;1273;384;1305;417;1
00230.ppm;974;398;1002;426;1
00231.ppm;1146;362;1183;399;1
00234.ppm;1051;275;1115;338;1
00236.ppm;1081;274;1199;402;14
00237.ppm;822;361;854;393;14
00237.ppm;290;389;323;422;14
00238.ppm;849;443;877;471;1
00239.ppm;792;439;812;458;1
00240.ppm;847;364;879;396;1
00241.ppm;838;400;880;442;2
00243.ppm;843;447;867;470;2
00247.ppm;471;453;492;474;5
00247.ppm;856;448;877;469;5
00248.ppm;204;452;229;479;5
00248.ppm;843;429;870;456;5
00249.ppm;1212;419;1244;452;2
00250.ppm;907;446;932;471;2
00252.ppm;910;326;956;372;1
00254.ppm;1172;270;1237;336;2
00259.ppm;1202;329;1247;374;1
00260.ppm;720;266;784;330;0
00261.ppm;1150;250;1208;311;35
00263.ppm;646;417;666;437;2
00264.ppm;964;412;988;435;4
00265.ppm;805;458;827;480;1
00268.ppm;891;396;917;422;2
00270.ppm;243;335;293;386;2
00270.ppm;1237;279;1291;332;2
00271.ppm;259;369;297;408;2
00271.ppm;1090;341;1130;381;2
00274.ppm;975;395;1011;430;0
00275.ppm;1196;342;1237;384;33
00275.ppm;206;410;238;445;33
00280.ppm;1054;392;1083;422;2
00281.ppm;984;392;1017;425;2
00283.ppm;1177;114;1284;219;4
00284.ppm;993;347;1051;404;2
00285.ppm;1091;304;1146;359;14
00286.ppm;1015;360;1044;389;14
00287.ppm;1113;370;1154;411;2
00288.ppm;413;456;436;479;5
00288.ppm;983;438;1006;462;5
00290.ppm;1294;391;1326;428;5
00291.ppm;1129;384;1165;422;3
00292.ppm;982;422;1011;451;8
00292.ppm;315;447;345;476;8
00293.ppm;28;410;70;456;7
00293.ppm;1143;365;1193;415;7
00296.ppm;460;409;492;442;7
00296.ppm;1237;385;1269;417;7
00298.ppm;1238;256;1314;331;2
00300.ppm;779;420;801;443;2
00301.ppm;1075;318;1125;368;2
00303.ppm;1186;385;1215;414;2
00304.ppm;504;385;553;434;35
00309.ppm;180;388;220;431;7
00309.ppm;1159;353;1203;398;7
00311.ppm;616;424;650;458;8
00311.ppm;1295;391;1329;425;8
00312.ppm;122;267;225;379;5
00314.ppm;1213;398;1247;434;5
00314.ppm;396;451;429;485;5
00316.ppm;696;436;719;458;3
00316.ppm;995;421;1020;445;3
00317.ppm;1122;378;1166;421;32
00319.ppm;1201;403;1248;450;3
00319.ppm;569;436;612;481;3
00320.ppm;175;438;202;466;32
00320.ppm;921;403;951;434;32
00322.ppm;1166;327;1209;370;5
00322.ppm;338;406;381;449;5
00330.ppm;1050;313;1116;381;2
00333.ppm;116;414;176;477;14
00333.ppm;753;387;808;445;14
00334.ppm;760;435;797;472;2
00338.ppm;505;425;536;453;2
00338.ppm;1000;426;1029;453;2
00339.ppm;627;442;660;476;1
00340.ppm;827;543;851;567;14
00340.ppm;827;521;852;546;33
00340.ppm;827;543;851;567;14
00346.ppm;291;541;321;571;5
00346.ppm;883;542;911;570;5
00348.ppm;952;524;990;562;5
00351.ppm;511;533;538;560;5
00358.ppm;316;490;374;549;8
00359.ppm;879;559;903;583;8
00359.ppm;467;560;492;585;8
00360.ppm;1032;484;1076;528;8
00360.ppm;253;502;296;545;8
00363.ppm;407;483;450;526;8
00366.ppm;517;530;540;553;8
00366.ppm;988;550;1014;573;8
00367.ppm;1028;501;1068;541;8
00367.ppm;230;488;274;530;8
00368.ppm;382;460;431;510;8
00369.ppm;521;544;542;564;8
00369.ppm;874;532;895;551;8
00370.ppm;880;536;904;559;8
00370.ppm;440;531;467;554;8
00371.ppm;316;521;372;577;5
00372.ppm;974;486;1017;529;4
00373.ppm;164;517;195;548;4
00373.ppm;819;511;853;545;4
00377.ppm;1133;504;1172;543;8
00377.ppm;239;490;278;531;8
00378.ppm;22;242;145;362;8
00379.ppm;186;458;232;504;8
00379.ppm;1062;442;1109;489;8
00380.ppm;952;540;975;563;8
00380.ppm;551;535;575;559;8
00382.ppm;445;490;485;530;8
00382.ppm;1209;496;1248;535;8
00384.ppm;1199;416;1263;480;8
00385.ppm;977;529;1016;568;8
00385.ppm;267;531;307;571;8
00390.ppm;455;502;503;550;8
00390.ppm;1219;494;1265;541;8
00392.ppm;358;443;423;512;7
00396.ppm;192;484;238;531;7
00396.ppm;998;468;1046;516;7
00397.ppm;947;524;982;559;4
00398.ppm;771;538;795;560;4
00401.ppm;420;496;461;537;4
00401.ppm;1122;497;1163;538;4
00403.ppm;568;540;592;564;4
00403.ppm;939;532;965;559;4
00404.ppm;335;415;396;476;4
00404.ppm;1255;415;1312;472;4
00405.ppm;1255;470;1309;525;4
00405.ppm;355;444;411;499;4
00412.ppm;1002;499;1047;545;7
00413.ppm;1038;480;1084;529;3
00414.ppm;1032;421;1078;468;3
00416.ppm;813;505;851;543;3
00418.ppm;460;563;482;585;8
00419.ppm;979;489;1025;537;7
00420.ppm;828;542;851;565;3
00420.ppm;361;548;383;570;3
00425.ppm;302;503;342;543;5
00425.ppm;900;500;941;541;5
00427.ppm;294;383;388;479;5
00428.ppm;325;548;353;576;7
00428.ppm;937;543;966;572;7
00431.ppm;275;527;314;564;8
00431.ppm;1141;496;1179;536;8
00432.ppm;237;560;263;586;8
00432.ppm;942;512;970;540;8
